Type_Source,Administration,عدد المناصب,Corps,Grade,Nom du poste,تاريخ النشر,آخر أجل لإيداع الترشيحات,تاريخ الإمتحان,Année
Ministère,Délégation générale à l'administration pénitentiaire et à la réinsertion,660,Fonctionnaires de l'Administration Pénitentiaire et de la Réinsertion,Surveillant éducateur,Non spécifié,2021-01-23,2021-02-06,2021-02-18,2021
Ministère,Ministère de l’Industrie et du Commerce,14,Ingénieurs et architectes,Ingénieur d'Etat 1er grade,Non spécifié,2021-01-28,2021-02-15,2021-03-07,2021
Ministère,Ministère de l’Industrie et du Commerce,10,Administrateurs,Administrateur 2ème grade,Non spécifié,2021-01-28,2021-02-15,2021-03-07,2021
Ministère,Ministère de l’Industrie et du Commerce,6,Techniciens,Technicien de 3ème grade,Non spécifié,2021-01-28,2021-02-15,2021-03-07,2021
Ministère,Ministère de la Santé et de la Protection sociale,27,"Médecins, pharmaciens et chirurgiens dentistes",Médecins premier grade,Non spécifié,2021-01-28,2021-02-15,2021-02-21,2021
Ministère,Ministère de la Santé et de la Protection sociale,7,"Médecins, pharmaciens et chirurgiens dentistes",Pharmacien premier grade,Non spécifié,2021-01-28,2021-02-15,2021-02-21,2021
Ministère,Ministère de la Santé et de la Protection sociale,3,"Médecins, pharmaciens et chirurgiens dentistes",Chirurgien dentiste premier grade,Non spécifié,2021-01-28,2021-02-15,2021-02-21,2021
Ministère,Ministère de la Santé et de la Protection sociale,10,Adjoints techniques,Adjoint technique 3ème grade,Non spécifié,2021-01-28,2021-02-15,2021-02-21,2021
Ministère,Ministère de la Santé et de la Protection sociale,4,Techniciens,Technicien de 4ème grade,Non spécifié,2021-01-28,2021-02-15,2021-02-21,2021
Ministère,Ministère de l’Économie et des Finances - Administration des Douanes et Impôts Indirects,220,personnel de l''ADII,Gardien des Douanes de 3ème grade,Non spécifié,2021-02-04,2021-02-19,2021-03-14,2021
Ministère,Haut commissariat au plan,3,Enseignants Chercheurs des Etablissements de Formation des Cadres Superieurs,Prof. de l'enseignement supérieur assistant grade A,Non spécifié,2021-02-04,2021-03-01,2021-03-25,2021
Ministère,Conseil national des droits de l'Homme,1,Non spécifié,Non spécifié,"Chef (fe) de la Section des études sociales, économiques et juridiques",2021-02-05,2021-02-24,2021-04-28,2021
Ministère,"Ministère de la Solidarité, de l’Insertion sociale et de la Famille",3,Ingénieurs et architectes,Ingénieur d'Etat 1er grade,Non spécifié,2021-02-09,2021-03-01,2021-04-04,2021
Ministère,"Ministère de la Solidarité, de l’Insertion sociale et de la Famille",10,Administrateurs,Administrateur 2ème grade,Non spécifié,2021-02-09,2021-03-01,2021-04-04,2021
Ministère,"Ministère de la Solidarité, de l’Insertion sociale et de la Famille",1,Administrateurs,Administrateur 3ème grade,Non spécifié,2021-02-09,2021-03-01,2021-04-04,2021
Ministère,"Ministère de la Solidarité, de l’Insertion sociale et de la Famille",6,Techniciens,Technicien de 3ème grade,Non spécifié,2021-02-09,2021-03-01,2021-03-28,2021
Ministère,"Ministère de la Solidarité, de l’Insertion sociale et de la Famille",2,Adjoints techniques,Adjoint technique 3ème grade,Non spécifié,2021-02-09,2021-03-01,2021-03-28,2021
Ministère,Ministère de l’intérieur -Direction Générale de la Protection Civile-,215,Protection Civile,Élèves agents de secours,Non spécifié,2021-02-11,2021-03-01,2021-03-10,2021
Ministère,"Ministère de l’Inclusion économique, de la Petite entreprise, de l’Emploi et des Compétences",82,Cadres du Ministère de l'emploi,Inspecteur du travail de 2ème grade,Non spécifié,2021-02-15,2021-03-23,2021-04-18,2021
Ministère,"Ministère de l’Inclusion économique, de la Petite entreprise, de l’Emploi et des Compétences",4,"Médecins, pharmaciens et chirurgiens dentistes",Médecins premier grade,Non spécifié,2021-02-15,2021-03-23,2021-04-18,2021
Ministère,"Ministère de l’Inclusion économique, de la Petite entreprise, de l’Emploi et des Compétences",21,Administrateurs,Administrateur 2ème grade,Non spécifié,2021-02-15,2021-03-23,2021-04-18,2021
Ministère,"Ministère de l’Inclusion économique, de la Petite entreprise, de l’Emploi et des Compétences",1,Techniciens,Technicien de 3ème grade,Non spécifié,2021-02-15,2021-03-23,2021-04-18,2021
Ministère,"Ministère de l’Inclusion économique, de la Petite entreprise, de l’Emploi et des Compétences",3,Adjoints techniques,Adjoint technique 3ème grade,Non spécifié,2021-02-15,2021-03-23,2021-04-18,2021
Ministère,"Ministère de l’Inclusion économique, de la Petite entreprise, de l’Emploi et des Compétences",80,Cadres du Ministère de l'emploi,Inspecteur du travail de 3ème grade,Non spécifié,2021-02-15,2021-03-26,2021-07-03,2021
Ministère,"Ministère de l’Inclusion économique, de la Petite entreprise, de l’Emploi et des Compétences",20,Cadres du Ministère de l'emploi,Inspecteur du travail de 2ème grade,Non spécifié,2021-02-15,2021-03-26,2021-07-03,2021
Ministère,"Ministère de l’Aménagement du territoire national, de l’Urbanisme, de l’Habitat et de la Politique de la ville - Département de l’Habitat",4,Ingénieurs et architectes,Architecte 1er grade,Non spécifié,2021-02-17,2021-03-06,2021-03-21,2021
Ministère,"Ministère de l’Aménagement du territoire national, de l’Urbanisme, de l’Habitat et de la Politique de la ville - Département de l’Habitat",6,Ingénieurs et architectes,Ingénieur d'Etat 1er grade,Non spécifié,2021-02-17,2021-03-06,2021-03-21,2021
Ministère,"Ministère de l’Aménagement du territoire national, de l’Urbanisme, de l’Habitat et de la Politique de la ville - Département de l’Habitat",5,Techniciens,Technicien de 3ème grade,Non spécifié,2021-02-17,2021-03-06,2021-03-21,2021
Ministère,"Ministère de l’Aménagement du territoire national, de l’Urbanisme, de l’Habitat et de la Politique de la ville - Département de l’Habitat",2,Techniciens,Technicien de 4ème grade,Non spécifié,2021-02-17,2021-03-06,2021-03-21,2021
Ministère,"Ministère de l’Aménagement du territoire national, de l’Urbanisme, de l’Habitat et de la Politique de la ville - Département de l’Habitat",5,Administrateurs,Administrateur 3ème grade,Non spécifié,2021-02-17,2021-03-06,2021-03-21,2021
Ministère,"Ministère de l’Aménagement du territoire national, de l’Urbanisme, de l’Habitat et de la Politique de la ville - Département de l’Habitat",12,Administrateurs,Administrateur 2ème grade,Non spécifié,2021-02-17,2021-03-06,2021-03-21,2021
Ministère,"Ministère de l’Aménagement du territoire national, de l’Urbanisme, de l’Habitat et de la Politique de la ville - Département de l’Habitat",3,Adjoints techniques,Adjoint technique 3ème grade,Non spécifié,2021-02-17,2021-03-18,2021-03-28,2021
Ministère,"Ministère de l’Aménagement du territoire national, de l’Urbanisme, de l’Habitat et de la Politique de la ville - Département de l’Habitat",3,Adjoints administratifs,Adjoint administratif 3ème grade,Non spécifié,2021-02-17,2021-03-06,2021-03-21,2021
Ministère,Ministère de la Santé et de la Protection sociale,20,Administrateurs,Administrateur 2ème grade,Non spécifié,2021-02-18,2021-03-11,2021-03-28,2021
Ministère,Ministère de la Santé et de la Protection sociale,10,Techniciens,Technicien de 3ème grade,Non spécifié,2021-02-18,2021-03-11,2021-03-28,2021
Ministère,Ministère de la Santé et de la Protection sociale,10,Techniciens,Technicien de 4ème grade,Non spécifié,2021-02-18,2021-03-11,2021-03-28,2021
Ministère,"Ministère de la Solidarité, de l’Insertion sociale et de la Famille",8,Enseignants-Chercheurs de l'Enseignement Supérieur,Maître de conférences grade A,Non spécifié,2021-02-26,2021-04-30,2021-05-26,2021
Ministère,Ministère de la Santé et de la Protection sociale,10,Administrateurs,Administrateur 3ème grade,Non spécifié,2021-03-02,2021-03-25,2021-04-11,2021
Ministère,"Ministère de la Jeunesse, de la Culture et de la Communication - Département de la Culture",3,Personnel d'inspection et d'enseignement artistique,Maître de l'enseignement artistique 4ème grade,Non spécifié,2021-03-05,2021-03-22,2021-03-27,2021
Ministère,"Ministère de la Jeunesse, de la Culture et de la Communication - Département de la Culture",1,Personnel d'inspection et d'enseignement artistique,Professeur adjoint de l'enseignement artistique 3ème grade,Non spécifié,2021-03-05,2021-03-22,2021-03-27,2021
Ministère,"Ministère de la Jeunesse, de la Culture et de la Communication - Département de la Culture",4,Personnel d'inspection et d'enseignement artistique,Professeur de l'enseignement artistique 2ème grade,Non spécifié,2021-03-05,2021-03-22,2021-03-27,2021
Ministère,"Ministère de la Jeunesse, de la Culture et de la Communication - Département de la Culture",2,Administrateurs,Administrateur 2ème grade,Non spécifié,2021-03-05,2021-03-22,2021-03-28,2021
Ministère,"Ministère de la Jeunesse, de la Culture et de la Communication - Département de la Culture",1,Ingénieurs et architectes,Ingénieur d'Etat 1er grade,Non spécifié,2021-03-05,2021-03-22,2021-03-27,2021
Ministère,"Ministère de la Jeunesse, de la Culture et de la Communication - Département de la Culture",8,Techniciens,Technicien de 3ème grade,Non spécifié,2021-03-05,2021-03-22,2021-03-28,2021
Ministère,"Ministère de la Jeunesse, de la Culture et de la Communication - Département de la Culture",1,Techniciens,Technicien de 3ème grade,Non spécifié,2021-03-05,2021-03-22,2021-03-28,2021
Ministère,"Ministère du Tourisme, de l’Artisanat et de l’Economie sociale et solidaire - Département du Tourisme",3,Techniciens,Technicien de 3ème grade,Non spécifié,2021-03-05,2021-03-22,2021-04-11,2021
Ministère,"Ministère du Tourisme, de l’Artisanat et de l’Economie sociale et solidaire - Département du Tourisme",2,Administrateurs,Administrateur 3ème grade,Non spécifié,2021-03-05,2021-03-22,2021-04-11,2021
Ministère,"Ministère du Tourisme, de l’Artisanat et de l’Economie sociale et solidaire - Département du Tourisme",3,Adjoints techniques,Adjoint technique 3ème grade,Non spécifié,2021-03-05,2021-03-22,2021-04-11,2021
Ministère,"Ministère du Tourisme, de l’Artisanat et de l’Economie sociale et solidaire - Département du Tourisme",2,Ingénieurs et architectes,Ingénieur d'Etat 1er grade,Non spécifié,2021-03-05,2021-03-22,2021-04-11,2021
Ministère,"Ministère du Tourisme, de l’Artisanat et de l’Economie sociale et solidaire - Département de l’Artisanat et de l’Economie sociale et solidaire",2,Ingénieurs et architectes,Ingénieur d'Etat 1er grade,Non spécifié,2021-03-09,2021-03-24,2021-04-03,2021
Ministère,"Ministère du Tourisme, de l’Artisanat et de l’Economie sociale et solidaire - Département de l’Artisanat et de l’Economie sociale et solidaire",7,Administrateurs,Administrateur 2ème grade,Non spécifié,2021-03-09,2021-03-24,2021-04-04,2021
Ministère,"Ministère du Tourisme, de l’Artisanat et de l’Economie sociale et solidaire - Département de l’Artisanat et de l’Economie sociale et solidaire",1,Techniciens,Technicien de 3ème grade,Non spécifié,2021-03-09,2021-03-24,2021-04-03,2021
Ministère,Ministère de la Santé et de la Protection sociale,30,Infirmiers et techniciens de santé,Sage-femme de premier grade,Non spécifié,2021-03-16,2021-04-01,2021-04-04,2021
Ministère,Ministère de la Santé et de la Protection sociale,2,Infirmiers et techniciens de santé,Assistant médico-social de premier grade,Non spécifié,2021-03-16,2021-04-01,2021-04-04,2021
Ministère,Ministère de la Santé et de la Protection sociale,2,Infirmiers et techniciens de santé,kinésithérapeute de premier grade,Non spécifié,2021-03-16,2021-04-01,2021-04-04,2021
Ministère,Ministère de la Santé et de la Protection sociale,2,Infirmiers et techniciens de santé,Technicien de santé de premier grade,Non spécifié,2021-03-16,2021-04-01,2021-04-04,2021
Ministère,Ministère de la Santé et de la Protection sociale,20,Infirmiers et techniciens de santé,Sage-femme de premier grade,Non spécifié,2021-03-16,2021-03-31,2021-04-04,2021
Ministère,Ministère de la Santé et de la Protection sociale,5,Infirmiers et techniciens de santé,Infirmier de premier grade,Non spécifié,2021-03-16,2021-03-31,2021-04-04,2021
Ministère,Ministère de la Santé et de la Protection sociale,3,Infirmiers et techniciens de santé,kinésithérapeute de premier grade,Non spécifié,2021-03-16,2021-03-31,2021-04-04,2021
Ministère,Ministère de la Santé et de la Protection sociale,20,Adjoints techniques,Adjoint technique 3ème grade,Non spécifié,2021-03-16,2021-03-31,2021-04-04,2021
Ministère,Ministère de la Santé et de la Protection sociale,20,Adjoints techniques,Adjoint technique 3ème grade,Non spécifié,2021-03-17,2021-04-01,2021-04-04,2021
Ministère,Ministère de la Santé et de la Protection sociale,3,Infirmiers et techniciens de santé,Infirmier de premier grade,Non spécifié,2021-03-17,2021-04-01,2021-04-04,2021
Ministère,Ministère de la Santé et de la Protection sociale,20,Infirmiers et techniciens de santé,Sage-femme de premier grade,Non spécifié,2021-03-17,2021-04-01,2021-04-04,2021
Ministère,Ministère de la Santé et de la Protection sociale,2,Infirmiers et techniciens de santé,Technicien de santé de premier grade,Non spécifié,2021-03-17,2021-04-01,2021-04-04,2021
Ministère,Ministère de la Santé et de la Protection sociale,4,Infirmiers et techniciens de santé,kinésithérapeute de premier grade,Non spécifié,2021-03-17,2021-04-01,2021-04-04,2021
Ministère,Ministère de la Santé et de la Protection sociale,3,Infirmiers et techniciens de santé,Assistant médico-social de premier grade,Non spécifié,2021-03-17,2021-04-01,2021-04-04,2021
Ministère,Ministère des habous et des affaires islamiques,8,Administrateurs,Administrateur 2ème grade,Non spécifié,2021-03-19,2021-04-02,2021-04-10,2021
Ministère,Ministère des habous et des affaires islamiques,10,Ingénieurs et architectes,Ingénieur d'Etat 1er grade,Non spécifié,2021-03-19,2021-04-02,2021-04-10,2021
Ministère,Ministère des habous et des affaires islamiques,4,Ingénieurs et architectes,Architecte 1er grade,Non spécifié,2021-03-19,2021-04-02,2021-04-10,2021
Ministère,Ministère de la Santé et de la Protection sociale,2,Adjoints techniques,Adjoint technique 3ème grade,Non spécifié,2021-03-19,2021-04-02,2021-04-11,2021
Ministère,Ministère de la Santé et de la Protection sociale,10,Administrateurs,Administrateur 2ème grade,Non spécifié,2021-03-19,2021-04-02,2021-04-11,2021
Ministère,Ministère de la Santé et de la Protection sociale,6,Techniciens,Technicien de 3ème grade,Non spécifié,2021-03-19,2021-04-02,2021-04-11,2021
Ministère,Ministère de la Santé et de la Protection sociale,6,Techniciens,Technicien de 4ème grade,Non spécifié,2021-03-19,2021-04-02,2021-04-11,2021
Ministère,Ministère de la Santé et de la Protection sociale,4,Ingénieurs et architectes,Ingénieur d'Etat 1er grade,Non spécifié,2021-03-19,2021-04-02,2021-04-11,2021
Ministère,Ministère de la Santé et de la Protection sociale,3,Techniciens,Technicien de 3ème grade,Non spécifié,2021-03-19,2021-04-05,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,3,Techniciens,Technicien de 4ème grade,Non spécifié,2021-03-19,2021-04-05,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,2,Adjoints techniques,Adjoint technique 3ème grade,Non spécifié,2021-03-19,2021-04-05,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,20,Adjoints techniques,Adjoint technique 3ème grade,Non spécifié,2021-03-19,2021-04-06,2021-04-11,2021
Ministère,Ministère de la Santé et de la Protection sociale,10,Infirmiers et techniciens de santé,Sage-femme de premier grade,Non spécifié,2021-03-19,2021-04-06,2021-04-11,2021
Ministère,Ministère de la Santé et de la Protection sociale,4,Infirmiers et techniciens de santé,kinésithérapeute de premier grade,Non spécifié,2021-03-19,2021-04-06,2021-04-11,2021
Ministère,Ministère de la Santé et de la Protection sociale,4,Techniciens,Technicien de 3ème grade,Non spécifié,2021-03-19,2021-04-09,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,2,Techniciens,Technicien de 4ème grade,Non spécifié,2021-03-19,2021-04-09,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,2,Adjoints techniques,Adjoint technique 3ème grade,Non spécifié,2021-03-19,2021-04-08,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,20,Adjoints techniques,Adjoint technique 3ème grade,Non spécifié,2021-03-19,2021-04-08,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,4,Techniciens,Technicien de 4ème grade,Non spécifié,2021-03-19,2021-04-08,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,4,Techniciens,Technicien de 3ème grade,Non spécifié,2021-03-19,2021-04-08,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,4,Administrateurs,Administrateur 2ème grade,Non spécifié,2021-03-19,2021-04-08,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,2,Ingénieurs et architectes,Ingénieur d'Etat 1er grade,Non spécifié,2021-03-19,2021-04-08,2021-04-18,2021
Ministère,Haut commissariat au plan,9,Ingénieurs et architectes,Ingénieur d'Etat 1er grade,Non spécifié,2021-03-22,2021-04-12,2021-05-02,2021
Ministère,Haut commissariat au plan,10,Administrateurs,Administrateur 2ème grade,Non spécifié,2021-03-22,2021-04-12,2021-05-09,2021
Ministère,Ministère de la Santé et de la Protection sociale,2,Adjoints techniques,Adjoint technique 3ème grade,Non spécifié,2021-03-22,2021-04-09,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,2,Ingénieurs et architectes,Ingénieur d'Etat 1er grade,Non spécifié,2021-03-22,2021-04-09,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,3,Techniciens,Technicien de 3ème grade,Non spécifié,2021-03-22,2021-04-09,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,3,Techniciens,Technicien de 4ème grade,Non spécifié,2021-03-22,2021-04-09,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,6,Administrateurs,Administrateur 2ème grade,Non spécifié,2021-03-22,2021-04-09,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,5,Adjoints techniques,Adjoint technique 3ème grade,Non spécifié,2021-03-23,2021-04-12,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,2,Adjoints techniques,Adjoint technique 3ème grade,Non spécifié,2021-03-23,2021-04-12,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,2,Techniciens,Technicien de 4ème grade,Non spécifié,2021-03-23,2021-04-12,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,5,Adjoints techniques,Adjoint technique 3ème grade,Non spécifié,2021-03-23,2021-04-09,2021-04-25,2021
Ministère,Ministère de la Santé et de la Protection sociale,20,Adjoints techniques,Adjoint technique 3ème grade,Non spécifié,2021-03-23,2021-04-15,2021-04-25,2021
Ministère,Ministère de la Santé et de la Protection sociale,40,Infirmiers et techniciens de santé,Sage-femme de premier grade,Non spécifié,2021-03-23,2021-04-15,2021-04-25,2021
Ministère,Ministère de la Santé et de la Protection sociale,10,Infirmiers et techniciens de santé,Sage-femme de premier grade,Non spécifié,2021-03-23,2021-04-09,2021-04-25,2021
Ministère,Ministère de la Santé et de la Protection sociale,1,Infirmiers et techniciens de santé,kinésithérapeute de premier grade,Non spécifié,2021-03-23,2021-04-09,2021-04-25,2021
Ministère,Ministère de la Santé et de la Protection sociale,7,Infirmiers et techniciens de santé,Sage-femme de premier grade,Non spécifié,2021-03-23,2021-04-12,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,1,Infirmiers et techniciens de santé,kinésithérapeute de premier grade,Non spécifié,2021-03-23,2021-04-12,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,5,Adjoints techniques,Adjoint technique 3ème grade,Non spécifié,2021-03-24,2021-04-19,2021-04-25,2021
Ministère,Ministère de la Santé et de la Protection sociale,5,Infirmiers et techniciens de santé,Sage-femme de premier grade,Non spécifié,2021-03-24,2021-04-19,2021-04-25,2021
Ministère,Ministère de la Santé et de la Protection sociale,2,"Médecins, pharmaciens et chirurgiens dentistes",Pharmacien premier grade,Non spécifié,2021-03-24,2021-04-07,2021-04-11,2021
Ministère,Ministère de la Santé et de la Protection sociale,4,Infirmiers et techniciens de santé,Infirmier de premier grade,Non spécifié,2021-03-24,2021-04-07,2021-04-11,2021
Ministère,Ministère de la Santé et de la Protection sociale,4,Infirmiers et techniciens de santé,Technicien de santé de premier grade,Non spécifié,2021-03-24,2021-04-07,2021-04-11,2021
Ministère,Ministère de la Santé et de la Protection sociale,45,Infirmiers et techniciens de santé,Sage-femme de premier grade,Non spécifié,2021-03-24,2021-04-07,2021-04-11,2021
Ministère,Ministère de la Santé et de la Protection sociale,3,Infirmiers et techniciens de santé,Assistant médico-social de premier grade,Non spécifié,2021-03-24,2021-04-07,2021-04-11,2021
Ministère,Ministère de la Santé et de la Protection sociale,3,Infirmiers et techniciens de santé,kinésithérapeute de premier grade,Non spécifié,2021-03-24,2021-04-07,2021-04-11,2021
Ministère,Ministère de la Santé et de la Protection sociale,3,Adjoints techniques,Adjoint technique 3ème grade,Non spécifié,2021-03-25,2021-04-09,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,9,Administrateurs,Administrateur 2ème grade,Non spécifié,2021-03-25,2021-04-09,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,2,Ingénieurs et architectes,Ingénieur d'Etat 1er grade,Non spécifié,2021-03-25,2021-04-09,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,5,Techniciens,Technicien de 3ème grade,Non spécifié,2021-03-25,2021-04-09,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,5,Techniciens,Technicien de 4ème grade,Non spécifié,2021-03-25,2021-04-09,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,25,Adjoints techniques,Adjoint technique 3ème grade,Non spécifié,2021-03-25,2021-04-09,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,2,Adjoints techniques,Adjoint technique 3ème grade,Non spécifié,2021-03-25,2021-04-12,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,4,Techniciens,Technicien de 3ème grade,Non spécifié,2021-03-25,2021-04-12,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,2,Ingénieurs et architectes,Ingénieur d'Etat 1er grade,Non spécifié,2021-03-25,2021-04-12,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,4,Administrateurs,Administrateur 2ème grade,Non spécifié,2021-03-25,2021-04-12,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,4,Techniciens,Technicien de 4ème grade,Non spécifié,2021-03-25,2021-04-12,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,6,"Médecins, pharmaciens et chirurgiens dentistes",Médecins premier grade,Non spécifié,2021-03-25,2021-04-16,2021-04-25,2021
Ministère,Ministère de la Santé et de la Protection sociale,1,"Médecins, pharmaciens et chirurgiens dentistes",Pharmacien premier grade,Non spécifié,2021-03-25,2021-04-16,2021-04-25,2021
Ministère,Ministère de la Santé et de la Protection sociale,3,Techniciens,Technicien de 4ème grade,Non spécifié,2021-03-25,2021-04-09,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,8,Administrateurs,Administrateur 2ème grade,Non spécifié,2021-03-25,2021-04-09,2021-04-18,2021
Ministère,Ministère de la Santé et de la Protection sociale,2,Adjoints techniques,Adjoint technique 3ème grade,Non spécifié,2021-03-25,2021-04-09,2021-04-18,2021
